flat,badrooms,bathrooms,location,sqm,price
True,2,0,Grunwald,46,269000.0
True,2,4,Wilda,45,298000.0
True,3,1,Grunwald,70,398000.0
True,4,0,Grunwald,60,395000.0
True,3,0,Wilda,96,389000.0
True,3,4,Wilda,47,429000.0
True,3,1,Wilda,95,715000.0
True,2,2,Centrum,56,460000.0
True,4,0,Stare,20,555000.0
True,3,4,Stare,60,655000.0
True,2,3,Stare,70,188000.0
True,2,0,Nowe,61,390000.0
True,2,9,Nowe,50,425000.0
True,3,1,Stare,72,359400.0
True,3,0,Wilda,48,497400.0
True,5,1,Wilda,31,604395.0
True,2,2,Stare,79,330615.0
True,2,0,Stare,60,290970.0
True,2,0,Stare,70,283340.0
True,2,3,Stare,20,282880.0
True,3,7,Nowe,80,339500.0
True,2,7,Stare,69,850000.0
True,4,6,Stare,90,380000.0
True,4,3,Stare,103,800000.0
True,4,1,Jeżyce,120,514000.0
True,2,1,Stare,42,290000.0
True,3,2,Stare,47,640000.0
True,6,0,Stare,40,1140000.0
True,2,4,Stare,50,561000.0
True,2,1,Świerczewo,60,400000.0
True,2,4,Grunwald,43,220000.0
True,3,1,Jeżyce,115,490000.0
True,2,4,Wilda,45,298000.0
True,2,3,Jeżyce,60,449000.0
True,2,2,Dębiec,44,237000.0
True,2,2,Garbary,56,480000.0
True,2,4,Wilda,37,298000.0
True,2,3,Wilda,52,255000.0
True,3,0,Stare,30,480000.0
True,3,2,Wilda,30,451000.0
True,3,4,Stare,84,370000.0
True,3,3,Centrum,108,529000.0
True,4,0,Grunwald,66,360000.0
True,4,0,Kopernika,60,419000.0
True,2,0,Stare,50,350000.0
True,3,9,Rataje,65,348000.0
True,4,3,Nowe,88,525000.0
True,6,4,Wilda,90,450000.0
True,4,2,Grunwald,90,449000.0
True,3,0,Winogrady,58,420000.0
True,3,3,Stare,63,360000.0
True,4,1,Centrum,103,1000000.0
False,3,4,Rataje,50,649400.0
False,2,4,Rataje,51,311570.0
False,3,3,Rataje,46,383928.0
False,2,3,Rataje,89,309741.0
True,2,0,Grunwald,46,359000.0
False,2,3,Rataje,86,295734.0
False,3,3,Rataje,55,384540.0
True,3,1,Grunwald,40,480000.0
False,3,2,Rataje,73,380091.0
False,2,1,Rataje,14,293352.0
False,2,1,Rataje,17,307156.0
False,2,1,Rataje,14,293352.0
True,2,3,Łazarz,59,535000.0
False,3,1,Rataje,91,375606.0
False,3,0,Rataje,94,293488.0
False,2,0,Rataje,21,307428.0
False,2,0,Rataje,16,293488.0
False,3,0,Rataje,88,375408.0
True,2,0,Piątkowo,47,299000.0
False,2,4,Podolany,68,243828.0
False,3,3,Podolany,63,348835.0
False,2,3,Podolany,79,256171.0
False,2,3,Podolany,96,298116.0
False,2,3,Podolany,35,306247.0
False,3,3,Podolany,71,337602.0
False,2,3,Podolany,82,244647.0
True,3,3,Łazarz,75,641000.0
True,2,10,Nowe,80,277000.0
True,4,0,Piątkowo,115,549000.0
True,3,1,Suchy,95,499000.0
True,4,2,Jeżyce,110,539000.0
True,2,2,Grunwald,70,450000.0
True,2,1,Grunwald,52,242000.0
True,3,4,Jeżyce,50,310000.0
True,2,3,Winogrady,40,259000.0
True,3,4,Wilda,66,475000.0
True,3,3,Grunwald,35,120000.0
True,3,4,Rataje,48,270000.0
True,5,1,Grunwald,196,1850000.0
True,4,4,Grunwald,50,350000.0
True,4,4,Grunwald,40,280000.0
True,4,4,Grunwald,70,490000.0
True,3,1,Naramowice,70,495000.0
True,3,0,Rataje,71,545000.0
True,3,10,Rataje,80,310000.0
True,2,0,Wilda,36,215000.0
True,2,4,Garbary,33,295000.0
True,2,8,Dębiec,50,200000.0
True,4,4,Rataje,74,359900.0
True,3,3,Jeżyce,70,320000.0
True,2,1,Naramowice,23,300000.0
True,4,2,Wilda,120,535000.0
True,3,2,Naramowice,60,620000.0
True,3,0,Naramowice,60,597000.0
True,3,0,Winogrady,62,399000.0
True,3,0,Grunwald,75,390000.0
True,2,1,Rataje,30,310000.0
True,3,1,Rataje,88,365000.0
True,3,3,Centrum,30,382000.0
True,2,2,Sołacz,58,299000.0
True,2,2,Sołacz,58,299000.0
True,3,1,Grunwald,64,499000.0
True,3,2,Jeżyce,106,549000.0
True,3,2,Jeżyce,106,549000.0
True,3,3,Łazarz,46,413000.0
True,2,1,Jeżyce,47,259000.0
True,3,4,Śródka,98,949000.0
True,3,4,Śródka,98,949000.0
True,3,4,Rataje,48,270000.0
True,3,9,Nowe,65,348000.0
True,2,0,Ławica,60,260000.0
True,4,4,Stare,60,370000.0
True,3,4,Stare,16,399000.0
True,4,3,Grunwald,74,369000.0
True,2,0,Łazarz,50,224000.0
True,3,4,Grunwald,49,260000.0
True,3,0,Piątkowo,60,315000.0
True,3,3,Wilda,67,379999.0
True,2,1,Rataje,63,350000.0
True,2,4,Grunwald,38,270000.0
True,4,2,Łazarz,92,439000.0
True,3,1,Rataje,50,519000.0
True,2,2,Dębiec,66,290000.0
True,2,4,Łazarz,80,326000.0
True,2,3,Grunwald,42,240000.0
True,3,0,Wilda,67,389000.0
True,3,2,Dębiec,91,420000.0
True,2,1,Naramowice,51,279000.0
True,2,4,Grunwald,43,220000.0
True,2,2,Grunwald,17,465360.0
True,3,3,Grunwald,16,777280.0
True,4,1,Stare,146,1000000.0
True,2,3,Rataje,50,350000.0
True,4,2,Jeżyce,87,469000.0
True,2,5,Jeżyce,38,253498.0
True,3,3,Jeżyce,51,334752.0
True,4,5,Jeżyce,57,374792.0
True,3,4,Rataje,63,329000.0
False,2,2,Stare,15,349668.0
False,2,3,Grunwald,24,297420.0
False,2,3,Grunwald,24,297420.0
True,2,1,Jeżyce,60,220000.0
True,3,1,Sołacz,66,399000.0
True,3,3,Grunwald,70,488000.0
True,2,4,Grunwald,43,220000.0
True,3,2,Podolany,68,390000.0
